"filename", "language", "JavaScript", "JSON", "Markdown", "XML", "CSS", "HTML", "SCSS", "vue", "comment", "blank", "total"
"d:\workspace\user-pc-vite\job\write-env-file.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 2, 3, 35
"d:\workspace\user-pc-vite\job\write-folder-file.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 19, 1, 56
"d:\workspace\user-pc-vite\package-lock.json", "JSON", 0, 5008, 0, 0, 0, 0, 0, 0, 0, 1, 5009
"d:\workspace\user-pc-vite\package.json", "JSON", 0, 83, 0, 0, 0, 0, 0, 0, 0, 1, 84
"d:\workspace\user-pc-vite\project\yazhou-h5\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 28, 6, 3, 37
"d:\workspace\user-pc-vite\project\yazhou-h5\App_load.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 213, 7, 23, 243
"d:\workspace\user-pc-vite\project\yazhou-h5\apiDomain.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 0, 53, 9, 171
"d:\workspace\user-pc-vite\project\yazhou-h5\index.html", "HTML", 0, 0, 0, 0, 0, 514, 0, 0, 26, 22, 562
"d:\workspace\user-pc-vite\project\yazhou-h5\main.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 5, 15, 37
"d:\workspace\user-pc-vite\project\yazhou-h5\src\boot\constant.js", "JavaScript", 158, 0, 0, 0, 0, 0, 0, 0, 4, 0, 162
"d:\workspace\user-pc-vite\project\yazhou-h5\src\boot\global_filters.js", "JavaScript", 200, 0, 0, 0, 0, 0, 0, 0, 41, 5, 246
"d:\workspace\user-pc-vite\project\yazhou-h5\src\boot\globals.js", "JavaScript", 233, 0, 0, 0, 0, 0, 0, 0, 81, 32, 346
"d:\workspace\user-pc-vite\project\yazhou-h5\src\boot\i18n.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 18, 1, 44
"d:\workspace\user-pc-vite\project\yazhou-h5\src\boot\local-image.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 12, 2, 39
"d:\workspace\user-pc-vite\project\yazhou-h5\src\boot\mathjs.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 65, 1, 92
"d:\workspace\user-pc-vite\project\yazhou-h5\src\boot\template-config.js", "JavaScript", 141, 0, 0, 0, 0, 0, 0, 0, 51, 19, 211
"d:\workspace\user-pc-vite\project\yazhou-h5\src\components\common\activity-layer.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 90, 4, 5, 99
"d:\workspace\user-pc-vite\project\yazhou-h5\src\components\common\activity-layer2.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 91, 7, 8, 106
"d:\workspace\user-pc-vite\project\yazhou-h5\src\components\common\cathectic-item\early-settle.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 708, 35, 31, 774
"d:\workspace\user-pc-vite\project\yazhou-h5\src\components\common\cathectic-item\item-body.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 137, 12, 10, 159
"d:\workspace\user-pc-vite\project\yazhou-h5\src\components\common\cathectic-item\item-body\body-main.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 420, 32, 26, 478
"d:\workspace\user-pc-vite\project\yazhou-h5\src\components\common\cathectic-item\item-body\body-top.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 134, 12, 7, 153
"d:\workspace\user-pc-vite\project\yazhou-h5\src\components\common\cathectic-item\item-footer.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 213, 20, 8, 241
"d:\workspace\user-pc-vite\project\yazhou-h5\src\components\common\cathectic-item\item-order.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 64, 6, 8, 78
"d:\workspace\user-pc-vite\project\yazhou-h5\src\components\common\cathectic-item\readme.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 4, 0, 9
"d:\workspace\user-pc-vite\project\yazhou-h5\src\components\common\common-cathectic-item.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 98, 10, 15, 123
"d:\workspace\user-pc-vite\project\yazhou-h5\src\components\common\common-header1.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 329, 9, 29, 367
"d:\workspace\user-pc-vite\project\yazhou-h5\src\components\common\common_header1.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 321, 9, 28, 358
"d:\workspace\user-pc-vite\project\yazhou-h5\src\components\common\counting-down-start.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 94, 2, 15, 111
"d:\workspace\user-pc-vite\project\yazhou-h5\src\components\common\counting-down.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 549, 2, 34, 585
"d:\workspace\user-pc-vite\project\yazhou-h5\src\components\common\domain-invalid.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 168, 5, 20, 193
"d:\workspace\user-pc-vite\project\yazhou-h5\src\components\common\infinity-scroll.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 0, 13, 32, 175
"d:\workspace\user-pc-vite\project\yazhou-h5\src\components\common\loading.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 126, 5, 10, 141
